No,ParentOrder,ParentId,Step,Class,Exponent,CenterSize,DerivedLength,NrConjClasses,HasC2DirectFactor,Code,Order,DerivedSize,Involutions,m,r,IsSpecial,Source,SourceID,Family,WignerS2,WignerS3
42,128,2328,3,2,4,16,2,208,true,45805774236543319715825054786039690065854338611,1024,8,63,7,3,false,class2_padding,7645402,C2_direct_product,212992,63963136
43,128,2328,3,2,4,16,2,208,true,44732201402874335659985368170792631381792291,1024,8,127,7,3,false,class2_padding,7645737,C2_direct_product,212992,63963136
44,128,2328,3,2,4,16,2,208,true,45805774236543319715825016970214338961273525817,1024,8,127,7,3,false,class2_padding,7646520,C2_direct_product,212992,63963136
45,128,2328,3,2,4,16,2,208,true,46905112818220359389004817377352053258734113396285,1024,8,127,7,3,false,class2_padding,7646542,C2_direct_product,212992,63963136
46,128,2328,3,2,4,16,2,208,true,46905112818220359389004817377315231828180732220987,1024,8,383,7,3,false,class2_padding,7646585,C2_direct_product,212992,63963136
47,128,2328,3,2,4,16,2,184,true,234068934032033533327162138611908128213830387645955,1024,8,351,7,3,false,class2_padding,8840079,C2_direct_product,188416,49807360
48,128,2328,3,2,4,16,2,184,true,251329604169291360503871863456693030063670165107610759216687,1024,8,95,7,3,false,class2_padding,8840080,C2_direct_product,188416,49807360
49,128,2328,3,2,4,16,2,184,true,239686588448802338127014029938518513037208725315403271,1024,8,351,7,3,false,class2_padding,8840081,C2_direct_product,188416,49807360
50,128,2328,3,2,4,16,2,184,true,239686497194327167651818885130847717996584224258014723,1024,8,351,7,3,false,class2_padding,8841562,C2_direct_product,188416,49807360
51,128,2328,3,2,4,16,2,184,true,251329508482038804147673639294963583431376450892334853013015,1024,8,351,7,3,false,class2_padding,8841573,C2_direct_product,188416,49807360
52,128,2328,3,2,4,16,2,184,true,257361416685607735447217806638042709433616149170354464474545711,1024,8,95,7,3,false,class2_padding,8841813,C2_direct_product,188416,49807360
53,128,2328,3,2,4,16,2,184,true,239686497194327167651818885130847644317694320476700169,1024,8,351,7,3,false,class2_padding,8841816,C2_direct_product,188416,49807360
54,128,2328,3,2,4,16,2,184,true,263538090686062321097951033997355734499714426928425981256209808959,1024,8,95,7,3,false,class2_padding,8841960,C2_direct_product,188416,49807360
55,256,56092,2,2,4,128,2,448,true,36965545741457032704,1024,4,639,8,2,false,class2_padding,10493082,C2_direct_product,458752,268435456
56,256,56092,2,2,4,128,2,448,true,38761221056939789371049478,1024,4,639,8,2,false,class2_padding,10493091,C2_direct_product,458752,268435456
57,256,56092,2,2,4,128,2,448,true,39691490362378401909991015943,1024,4,127,8,2,false,class2_padding,10493092,C2_direct_product,458752,268435456
