Order,SmallGroup_ID,StructureDescription,CenterSize
1536,199580594,"C3 : ((((((C4 x C2 x C2) : C2) : C2) : C2) : C2) : C2)",2
1536,199580620,"C3 : (((((C2 x C2 x Q8) : C2) : C2) : C2) : C2)",2
1536,199841113,"((C4 x C4) : C2) x D48",8
1536,199841114,"D16 x (C3 : ((C4 x C4) : C2))",8
1536,199841198,"((C4 x C4) : C2) x (C3 : Q16)",8
1536,199841199,"Q16 x (C3 : ((C4 x C4) : C2))",8
1536,199841673,"(((C4 x C4) : C2) : C2) x D24",8
1536,199841674,"D8 x (C3 : (((C4 x C4) : C2) : C2))",8
1536,199841684,"(C4 : Q16) x D24",8
1536,199841685,"D8 x (C3 : (C4 : Q16))",8
1536,199844374,"C3 : (((C2 x (((C2 x C2 x C2) : (C2 x C2)) : C2)) : C2) : C2)",4
1536,199844375,"C3 : (((C2 x (((C2 x C2 x C2) : (C2 x C2)) : C2)) : C2) : C2)",4
1536,199844385,"C3 : (((C2 x (((C4 x C4) : C2) : C2)) : C2) : C2)",4
1536,199844386,"C3 : (((C2 x (((C4 x C4) : C2) : C2)) : C2) : C2)",4
1536,199845159,"(C4 : Q8) x D48",8
1536,199845160,"D16 x (C3 : (C4 : Q8))",8
1536,199845315,"(C4 : Q8) x (C3 : Q16)",8
1536,199845316,"Q16 x (C3 : (C4 : Q8))",8
1536,199846253,"(C8 : Q8) x D24",8
1536,199846254,"D8 x (C3 : (C8 : Q8))",8
1536,199847753,"C3 : ((((C8 : Q8) : C2) : C2) : C2)",4
1536,199847754,"C3 : ((((C8 : Q8) : C2) : C2) : C2)",4
1536,201027720,"(((C4 x C4) : C2) : C2) x (C3 : Q8)",4
1536,201027787,"((C4 : Q8) : C2) x (C3 : Q8)",4
1536,201028059,"(((C2 x C2 x C2 x C2) : C2) : C2) x (C3 : Q8)",4
1536,201054876,"(((C4 x C4) : C2) : C2) x (C3 : Q8)",8
1536,201054878,"Q8 x (C3 : (((C4 x C4) : C2) : C2))",8
1536,201054883,"(C4 : Q16) x (C3 : Q8)",8
1536,201054885,"Q8 x (C3 : (C4 : Q16))",8
1536,201055916,"(C8 : Q8) x (C3 : Q8)",8
1536,201055918,"Q8 x (C3 : (C8 : Q8))",8
1536,201106945,"(((C2 x (C8 : (C2 x C2))) : C2) : C2) x S3",2
1536,201106969,"(((C2 x ((C2 x Q8) : C2)) : C2) : C2) x S3",2
1536,201139769,"((C2 x (((C4 x C4) : C2) : C2)) : C2) x S3",8
1536,201139772,"C2 x (C3 : ((C2 x (((C4 x C4) : C2) : C2)) : C2))",16
1536,201139773,"((C4 x C4) : Q16) x S3",8
1536,201139776,"C2 x (C3 : ((C4 x C4) : Q16))",16
1536,201139967,"((C8 x C4) : Q8) x S3",8
1536,201139971,"C2 x (C3 : ((C8 x C4) : Q8))",16
1536,230685566,"C2 x (((((C2 x C2 x C2) : (C2 x C2)) : C2) : C2) x S3)",4
1536,230685809,"C3 : ((C2 x ((((C2 x C2 x C2) : (C2 x C2)) : C2) : C2)) : C2)",2
1536,230685845,"C3 : ((((((C2 x C2 x C2) : (C2 x C2)) : C2) : C2) : C2) : C2)",2
1536,230685958,"C2 x (((Q8 x Q8) : C2) x S3)",4
1536,230686088,"C3 : ((C2 x ((Q8 x Q8) : C2)) : C2)",2
1536,230686102,"C3 : ((((((C4 x C4) : C2) : C2) : C2) : C2) : C2)",2
1536,230689133,"C2 x ((((C2 x D16) : C2) : C2) x S3)",8
1536,230689136,"C2 x C2 x (C3 : (((C2 x D16) : C2) : C2))",16
1536,230689137,"C2 x ((C4 : Q32) x S3)",8
1536,230689140,"C2 x C2 x (C3 : (C4 : Q32))",16
1536,230689269,"C3 : ((C2 x (((C2 x D16) : C2) : C2)) : C2)",4
1536,230689274,"C3 : ((C2 x (((C2 x D16) : C2) : C2)) : C2)",4
1536,230689276,"C3 : ((C2 x (C4 : Q32)) : C2)",4
1536,230689281,"C3 : ((C2 x (C4 : Q32)) : C2)",4
1536,230689324,"C2 x ((C16 : Q8) x S3)",8
1536,230689327,"C2 x C2 x (C3 : (C16 : Q8))",16
1536,230689413,"C3 : ((C2 x (C16 : Q8)) : C2)",4
1536,230689418,"C3 : ((C2 x (C16 : Q8)) : C2)",4
1536,230694925,"D8 x D32 x S3",4
1536,230694932,"C2 x D32 x D24",8
1536,230694933,"C2 x D8 x D96",8
1536,230695007,"D8 x Q32 x S3",4
1536,230695014,"C2 x Q32 x D24",8
1536,230695015,"C2 x (D8 x (C3 : Q32))",8
1536,230695054,"C3 : (((C2 x (((C8 x C2) : C2) : C2)) : C2) : C2)",4
1536,230695120,"C3 : (((C2 x (QD32 : C2)) : C2) : C2)",4
1536,230695772,"C3 : (((C2 x ((C2 x D16) : C2)) : C2) : C2)",4
1536,230695773,"C3 : (((C2 x ((C2 x D16) : C2)) : C2) : C2)",4
1536,230695797,"C3 : (((C2 x ((C2 x Q16) : C2)) : C2) : C2)",4
1536,230695798,"C3 : (((C2 x ((C2 x Q16) : C2)) : C2) : C2)",4
1536,230695977,"((((C2 x D16) : C2) : C2) : C2) x S3",2
1536,230695984,"C2 x (C3 : ((((C2 x D16) : C2) : C2) : C2))",4
1536,230695985,"C2 x (C3 : ((((C2 x D16) : C2) : C2) : C2))",4
1536,230695998,"((((C2 x Q16) : C2) : C2) : C2) x S3",2
1536,230696005,"C2 x (C3 : ((((C2 x Q16) : C2) : C2) : C2))",4
1536,230696006,"C2 x (C3 : ((((C2 x Q16) : C2) : C2) : C2))",4
1536,230700248,"Q8 x D32 x S3",4
1536,230700252,"C2 x (D32 x (C3 : Q8))",8
1536,230700253,"C2 x Q8 x D96",8
