Order, SmallGroup_ID, StructureDescription, CenterSize
512,6480925,"(((((C4 x C2 x C2) : C2) : C2) : C2) : C2) : C2",2
512,6480927,"((((C2 x C2 x Q8) : C2) : C2) : C2) : C2",2
512,6490230,"((C4 x C4) : C2) x D16",8
512,6490237,"((C4 x C4) : C2) x Q16",8
512,6490268,"D8 x (((C4 x C4) : C2) : C2)",8
512,6490269,"D8 x (C4 : Q16)",8
512,6490387,"((C2 x (((C2 x C2 x C2) : (C2 x C2)) : C2)) : C2) : C2",4
512,6490388,"((C2 x (((C4 x C4) : C2) : C2)) : C2) : C2",4
512,6490425,"(C4 : Q8) x D16",8
512,6490435,"(C4 : Q8) x Q16",8
512,6490482,"D8 x (C8 : Q8)",8
512,6490554,"(((C8 : Q8) : C2) : C2) : C2",4
512,6532766,"Q8 x (((C4 x C4) : C2) : C2)",4
512,6532771,"Q8 x ((C4 : Q8) : C2)",4
512,6532786,"Q8 x (((C2 x C2 x C2 x C2) : C2) : C2)",4
512,6533856,"Q8 x (((C4 x C4) : C2) : C2)",8
512,6533857,"Q8 x (C4 : Q16)",8
512,6533913,"Q8 x (C8 : Q8)",8
512,6536068,"(C2 x C2 x (((C4 x C4) : C2) : C2)) : C2",4
512,6536071,"(C2 x C2 x ((C4 : Q8) : C2)) : C2",4
512,6536074,"C2 x (((C2 x (C8 : (C2 x C2))) : C2) : C2)",4
512,6536077,"C2 x (((C2 x ((C2 x Q8) : C2)) : C2) : C2)",4
512,6536092,"(C2 x C2 x (((C2 x C2 x C2 x C2) : C2) : C2)) : C2",4
512,6536097,"(C2 x ((((C2 x C2 x C2 x C2) : C2) : C2) : C2)) : C2",4
512,6536100,"(C2 x ((((C4 x C2 x C2) : C2) : C2) : C2)) : C2",4
512,6538132,"C2 x ((C2 x (((C4 x C4) : C2) : C2)) : C2)",16
512,6538133,"C2 x ((C4 x C4) : Q16)",16
512,6538157,"C2 x ((C8 x C4) : Q8)",16
512,7530050,"C2 x C2 x ((((C2 x C2 x C2) : (C2 x C2)) : C2) : C2)",8
512,7530076,"(C2 x ((((C2 x C2 x C2) : (C2 x C2)) : C2) : C2)) : C2",2
512,7530079,"(((((C2 x C2 x C2) : (C2 x C2)) : C2) : C2) : C2) : C2",2
512,7530092,"C2 x C2 x ((Q8 x Q8) : C2)",8
512,7530108,"(C2 x ((Q8 x Q8) : C2)) : C2",2
512,7530110,"(((((C4 x C4) : C2) : C2) : C2) : C2) : C2",2
512,7530379,"C2 x C2 x (((C2 x D16) : C2) : C2)",16
512,7530380,"C2 x C2 x (C4 : Q32)",16
512,7530397,"(C2 x (((C2 x D16) : C2) : C2)) : C2",4
512,7530398,"(C2 x (C4 : Q32)) : C2",4
512,7530403,"C2 x C2 x (C16 : Q8)",16
512,7530416,"(C2 x (C16 : Q8)) : C2",4
512,7530790,"C2 x D8 x D32",8
512,7530797,"C2 x D8 x Q32",8
512,7530800,"((C2 x (((C8 x C2) : C2) : C2)) : C2) : C2",4
512,7530804,"((C2 x (QD32 : C2)) : C2) : C2",4
512,7530840,"((C2 x ((C2 x D16) : C2)) : C2) : C2",4
512,7530842,"((C2 x ((C2 x Q16) : C2)) : C2) : C2",4
512,7530854,"C2 x ((((C2 x D16) : C2) : C2) : C2)",4
512,7530856,"C2 x ((((C2 x Q16) : C2) : C2) : C2)",4
512,7531106,"C2 x Q8 x D32",8
512,7531110,"C2 x Q8 x Q32",8
512,7531128,"(((C8 : Q8) : C2) : C2) : C2",4
512,7532168,"((((C2 x D16) : C2) : C2) : C2) : C2",4
