Order, SmallGroup_ID, StructureDescription, CenterSize
120,46,"C2 x C2 x D30",4
122,1,"D122",1
124,3,"D124",2
126,5,"D126",1
126,15,"(C3 x C3) : D14",1
128,161,"D128",2
128,163,"Q128",2
128,444,"(((C4 x C4) : C2) : C2) : C2",4
128,445,"C8 : Q16",4
128,928,"(((C2 x C2 x C2) : (C2 x C2)) : C2) : C2",2
128,937,"(Q8 x Q8) : C2",2
128,978,"((C2 x D16) : C2) : C2",4
128,979,"C4 : Q32",4
128,984,"C16 : Q8",4
128,991,"C2 x D64",4
128,993,"C2 x Q64",4
128,1578,"(C2 x ((C2 x C2 x C2 x C2) : C2)) : C2",8
128,1599,"(C2 x ((C4 x C4) : C2)) : C2",8
128,1600,"(C4 x C4) : Q8",8
128,1740,"(C2 x C2 x D16) : C2",4
128,1743,"(C2 x C2 x Q16) : C2",4
128,1746,"C2 x (((C4 x C4) : C2) : C2)",4
128,1749,"C2 x ((C4 : Q8) : C2)",4
128,1755,"C2 x (((C2 x C2 x C2 x C2) : C2) : C2)",4
128,1876,"C2 x (((C4 x C4) : C2) : C2)",8
128,1877,"C2 x (C4 : Q16)",8
128,1891,"C2 x (C8 : Q8)",8
128,2011,"D8 x D16",4
128,2018,"D8 x Q16",4
128,2024,"((C8 : (C2 x C2)) : C2) : C2",2
128,2025,"(((C2 x Q8) : C2) : C2) : C2",2
128,2110,"Q8 x D16",4
128,2114,"Q8 x Q16",4
128,2140,"C2 x C2 x D32",8
128,2142,"C2 x C2 x Q32",8
128,2147,"(C2 x D32) : C2",2
128,2149,"(C2 x Q32) : C2",2
128,2163,"C2 x C2 x ((C2 x C2 x C2 x C2) : C2)",16
128,2172,"C2 x C2 x ((C4 x C4) : C2)",16
128,2173,"C2 x C2 x (C4 : Q8)",16
128,2194,"C2 x D8 x D8",8
128,2198,"C2 x Q8 x D8",8
128,2209,"C2 x Q8 x Q8",8
128,2216,"(C2 x ((C2 x C2 x C2 x C2) : C2)) : C2",4
128,2218,"((C2 x ((C4 x C2) : C2)) : C2) : C2",4
128,2230,"((C2 x ((C4 x C2) : C2)) : C2) : C2",4
128,2231,"((C2 x ((C4 x C2) : C2)) : C2) : C2",4
128,2235,"((C4 : Q8) : C2) : C2",4
128,2306,"C2 x C2 x C2 x D16",16
128,2308,"C2 x C2 x C2 x Q16",16
128,2313,"C2 x ((C2 x D16) : C2)",4
128,2315,"C2 x ((C2 x Q16) : C2)",4
128,2320,"C2 x C2 x C2 x C2 x D8",32
128,2321,"C2 x C2 x C2 x C2 x Q8",32
128,2323,"C2 x C2 x ((C2 x C2 x C2) : (C2 x C2))",8
128,2324,"C2 x C2 x ((C2 x Q8) : C2)",8
128,2326,"(C2 x ((C2 x C2 x C2) : (C2 x C2))) : C2",2
128,2327,"(C2 x ((C2 x Q8) : C2)) : C2",2
128,2328,"C2 x C2 x C2 x C2 x C2 x C2 x C2",128
130,3,"D130",1
132,5,"S3 x D22",1
132,9,"D132",2
134,1,"D134",1
136,4,"C17 : Q8",2
136,6,"D136",2
136,14,"C2 x C2 x D34",4
138,3,"D138",1
140,7,"D10 x D14",1
140,10,"D140",2
142,1,"D142",1
144,4,"C9 : Q16",2
144,8,"D144",2
144,37,"C2 x (C9 : Q8)",4
144,39,"C2 x D72",4
144,41,"D8 x D18",2
144,43,"Q8 x D18",2
144,88,"(C3 x C3) : D16",2
144,89,"(C3 x C3) : Q16",2
144,112,"C2 x C2 x C2 x D18",8
144,119,"(C3 x C3) : Q16",2
144,137,"(C3 : Q8) x S3",2
144,144,"D24 x S3",2
144,168,"C2 x ((C3 x C3) : Q8)",4
144,170,"C2 x ((C12 x C3) : C2)",4
144,172,"D8 x ((C3 x C3) : C2)",2
144,174,"Q8 x ((C3 x C3) : C2)",2
144,183,"S3 x S4",1
144,186,"C2 x ((S3 x S3) : C2)",2
144,192,"C2 x C2 x S3 x S3",4
144,196,"C2 x C2 x C2 x ((C3 x C3) : C2)",8
146,1,"D146",1
148,4,"D148",2
150,3,"D150",1
150,12,"C3 : ((C5 x C5) : C2)",1
152,3,"C19 : Q8",2
152,5,"D152",2
152,11,"C2 x C2 x D38",4
154,3,"D154",1
156,11,"S3 x D26",1
156,17,"D156",2
158,1,"D158",1
160,6,"D160",2
160,8,"C5 : Q32",2
160,90,"C5 : (C4 : Q8)",4
160,95,"C5 : ((C4 x C4) : C2)",4
160,124,"C2 x D80",4
160,126,"C2 x (C5 : Q16)",4
160,131,"D16 x D10",2
160,138,"Q16 x D10",2
160,213,"C2 x C2 x (C5 : Q8)",8
160,215,"C2 x C2 x D40",8
160,217,"C2 x D8 x D10",4
160,220,"C2 x Q8 x D10",4
160,224,"C5 : ((C2 x C2 x C2) : (C2 x C2))",2
160,225,"C5 : ((C2 x Q8) : C2)",2
160,234,"((C2 x C2 x C2 x C2) : C5) : C2",1
160,237,"C2 x C2 x C2 x C2 x D10",16
162,1,"D162",1
162,16,"(C9 x C9) : C2",1
162,18,"(C27 x C3) : C2",1
162,45,"(C9 x C3 x C3) : C2",1
162,54,"(C3 x C3 x C3 x C3) : C2",1
164,4,"D164",2
166,1,"D166",1
168,34,"C3 : (C7 : Q8)",2
168,36,"D168",2
168,50,"C2 x S3 x D14",2
168,56,"C2 x C2 x D42",4
170,3,"D170",1
172,3,"D172",2
174,3,"D174",1
176,6,"D176",2
176,7,"C11 : Q16",2
176,27,"C2 x (C11 : Q8)",4
176,29,"C2 x D88",4
176,31,"D8 x D22",2
176,33,"Q8 x D22",2
176,41,"C2 x C2 x C2 x D22",8
178,1,"D178",1
180,7,"D10 x D18",1
180,11,"D180",2
180,27,"((C3 x C3) : C2) x D10",1
180,29,"S3 x D30",1
180,36,"C2 x ((C15 x C3) : C2)",2
182,3,"D182",1
184,3,"C23 : Q8",2
184,5,"D184",2
184,11,"C2 x C2 x D46",4
186,5,"D186",1
188,3,"D188",2
190,3,"D190",1
192,7,"D192",2
192,9,"C3 : Q64",2
192,241,"C3 : (C8 : Q8)",4
