No,m,r,Family,Order,Class,CenterSize,DerivedSize,Involutions,k,WignerS2,WignerS3,PcCode
63,7,3,m7r3_polar3_q4,1024,2,8,8,63,220,225280,67895296,22344322650763960156627481934551268565468733
64,7,3,m7r3_polar3_q5,1024,2,8,8,383,220,225280,67895296,20809772099148445031250543689877058
65,7,3,m7r3_polar3_q6,1024,2,8,8,95,220,225280,67895296,21309206629528007712072051863603660355
66,7,3,m7r3_polar3_q7,1024,2,8,8,191,220,225280,67895296,21309206629528007712018008668075214403
67,7,3,m7r3_polar3_q8,1024,2,8,8,127,220,225280,67895296,22344322650763960175970331941873482779870799
68,7,3,m7r3_polar3_q9,1024,2,8,8,31,220,225280,67895296,22344322650763960175970332013931076817798735
69,7,3,m7r3_polar3_q10,1024,2,8,8,63,220,225280,67895296,22344322650763960175970331959887881289352783
70,7,3,m7r3_polar4_q1,1024,2,8,8,383,208,212992,63963136,20322043065537813835509772867072
71,7,3,m7r3_polar4_q2,1024,2,8,8,383,208,212992,63963136,21309206629489378698865916598120633896
72,7,3,m7r3_polar4_q3,1024,2,8,8,127,208,212992,63963136,21820627588597123787638734624929263670828
73,7,3,m7r3_polar4_q4,1024,2,8,8,383,208,212992,63963136,21820627588597123787638770653726282634834
74,7,3,m7r3_polar4_q5,1024,2,8,8,63,208,212992,63963136,22344322650723454758542101221472964171552339
75,7,3,m7r3_polar4_q6,1024,2,8,8,127,208,212992,63963136,22344322650723454758542101185444167152588371
76,7,3,m7r3_polar5_q1,1024,2,8,8,351,196,200704,53739520,20322043065537813836059264423424
77,7,3,m7r3_polar5_q2,1024,2,8,8,159,196,200704,53739520,21820627588597123806528200556957336081933
78,7,3,m7r3_polar5_q3,1024,2,8,8,351,196,200704,53739520,21309206629489378717348690018340705810
79,7,3,m7r3_polar5_q4,1024,2,8,8,159,196,200704,53739520,22880586394340817692554114500458565756119946783
80,7,3,m7r3_polar5_q5,1024,2,8,8,351,196,200704,53739520,21309206629489378698865917147612190241
81,7,3,m7r3_polar5_q6,1024,2,8,8,159,196,200704,53739520,21820627588597123787638734625478755227180
82,7,3,m7r3_polar5_q7,1024,2,8,8,159,196,200704,53739520,22344322650723454758542101185444716644144691
83,7,3,m7r3_polar5_q8,1024,2,8,8,351,196,200704,53739520,22880586394340817672747073835035022007333819966
84,7,3,m7r3_polar5_q9,1024,2,8,8,159,196,200704,53739520,21820627588597123787620287881405045675569
85,7,3,m7r3_polar5_q10,1024,2,8,8,95,196,200704,53739520,22344322650723454758523174826025090644186684
86,7,3,m7r3_polar5_q11,1024,2,8,8,95,196,200704,53739520,22344322650723454758560990651376195224999475
87,7,3,m7r3_polar5_q12,1024,2,8,8,159,196,200704,53739520,22880586394340817672766416648148856074129118782
88,7,3,m7r3_polar5_q13,1024,2,8,8,351,196,200704,53739520,21309206629489378698901945944631154241
89,7,3,m7r3_polar5_q14,1024,2,8,8,159,196,200704,53739520,21820627588597123787620323910202064639555
90,7,3,m7r3_polar5_q15,1024,2,8,8,159,196,200704,53739520,22344322650723454758542064364014163262969421
91,7,3,m7r3_polar5_q16,1024,2,8,8,95,196,200704,53739520,22880586394340817672747073816624306730643232335
92,7,3,m7r3_polar5_q17,1024,2,8,8,63,196,200704,53739520,22344322650723454758542101221473513663108691
93,7,3,m7r3_polar5_q18,1024,2,8,8,63,196,200704,53739520,23429720467804997296893003607075970059427741963871
94,7,3,m7r3_polar6_q1,1024,2,8,8,367,202,206848,58458112,39672128622905148226054145536
95,7,3,m7r3_polar6_q2,1024,2,8,8,143,202,206848,58458112,41599241942891425626511211984078360
96,7,3,m7r3_polar6_q3,1024,2,8,8,111,202,206848,58458112,44666845920777562993248944874821659549255229
97,7,3,m7r3_polar6_q4,1024,2,8,8,367,202,206848,58458112,42597623749520800952153598125022398022
98,7,3,m7r3_polar6_q5,1024,2,8,8,79,202,206848,58458112,43619966719509300175005356528554842539591
99,7,3,m7r3_polar6_q6,1024,2,8,8,111,202,206848,58458112,43619966719509300175005302485359314093639
