Order,SmallGroup_ID,m,r,stem,rank_profile,affine_dimension
512,7606661,6,3,true,"[ 2, 2, 2, 4, 4, 4, 6 ]",6
512,7606662,6,3,true,"[ 2, 2, 2, 4, 4, 4, 6 ]",6
512,7606711,6,3,true,"[ 2, 2, 2, 4, 4, 4, 6 ]",6
512,7607280,6,3,true,"[ 2, 2, 2, 4, 4, 4, 6 ]",6
512,7640345,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7640799,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7640967,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7644607,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7644708,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7645035,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7645152,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7645402,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7645737,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7646520,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7646542,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,7646585,6,3,true,"[ 2, 4, 4, 4, 4, 4, 4 ]",6
512,8840079,6,3,true,"[ 4, 4, 4, 4, 4, 4, 4 ]",6
512,8840080,6,3,true,"[ 4, 4, 4, 4, 4, 4, 4 ]",6
512,8840081,6,3,true,"[ 4, 4, 4, 4, 4, 4, 4 ]",6
512,8841562,6,3,true,"[ 4, 4, 4, 4, 4, 4, 4 ]",6
512,8841573,6,3,true,"[ 4, 4, 4, 4, 4, 4, 4 ]",6
512,8841813,6,3,true,"[ 4, 4, 4, 4, 4, 4, 4 ]",6
512,8841816,6,3,true,"[ 4, 4, 4, 4, 4, 4, 4 ]",6
512,8841960,6,3,true,"[ 4, 4, 4, 4, 4, 4, 4 ]",6
512,10493082,7,2,false,"[ 2, 2, 2 ]",3
512,10493091,7,2,false,"[ 2, 2, 2 ]",3
512,10493092,7,2,false,"[ 2, 2, 2 ]",3
512,10493114,7,2,false,"[ 2, 2, 4 ]",4
512,10493115,7,2,false,"[ 2, 2, 4 ]",4
512,10493131,7,2,false,"[ 2, 2, 4 ]",4
512,10493137,7,2,false,"[ 2, 4, 4 ]",5
512,10493156,7,2,false,"[ 2, 4, 4 ]",5
512,10493169,7,2,false,"[ 2, 4, 4 ]",5
512,10493170,7,2,false,"[ 2, 4, 4 ]",5
512,10493176,7,2,false,"[ 2, 4, 4 ]",5
512,10493220,7,2,false,"[ 2, 4, 6 ]",6
512,10493221,7,2,false,"[ 2, 4, 6 ]",6
512,10493237,7,2,false,"[ 2, 4, 6 ]",6
512,10493238,7,2,false,"[ 2, 4, 6 ]",6
512,10493262,7,2,true,"[ 2, 6, 6 ]",7
512,10493279,7,2,true,"[ 2, 6, 6 ]",7
512,10493293,7,2,true,"[ 2, 6, 6 ]",7
512,10493294,7,2,true,"[ 2, 6, 6 ]",7
512,10493299,7,2,true,"[ 2, 6, 6 ]",7
512,10493360,7,2,false,"[ 4, 4, 4 ]",6
512,10493377,7,2,false,"[ 4, 4, 4 ]",6
512,10493378,7,2,false,"[ 4, 4, 4 ]",6
512,10493526,7,2,false,"[ 4, 4, 4 ]",6
512,10493531,7,2,false,"[ 4, 4, 4 ]",6
512,10493555,7,2,false,"[ 4, 4, 4 ]",6
512,10493560,7,2,false,"[ 4, 4, 4 ]",6
512,10493668,7,2,true,"[ 4, 4, 6 ]",7
512,10493669,7,2,true,"[ 4, 4, 6 ]",7
512,10493714,7,2,true,"[ 4, 4, 6 ]",7
512,10493750,7,2,true,"[ 4, 4, 6 ]",7
512,10493751,7,2,true,"[ 4, 4, 6 ]",7
512,10493754,7,2,true,"[ 4, 4, 6 ]",7
512,10494202,8,1,false,"[ 2 ]",2
512,10494203,8,1,false,"[ 2 ]",2
512,10494205,8,1,false,"[ 4 ]",4
512,10494206,8,1,false,"[ 4 ]",4
512,10494208,8,1,false,"[ 6 ]",6
512,10494209,8,1,false,"[ 6 ]",6
512,10494211,8,1,true,"[ 8 ]",8
512,10494212,8,1,true,"[ 8 ]",8
